No.,C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Co,Cu,Al,Ti,V,B,Th,I,U,Ve,Strain,TCL
243,0.07,0.15,0.81,0.008,0.003,20.42,32.83,0,0.017,0.04,0,0.32,0.47,0.44,0,0,6.5,170,14,2.55,2,9.17
244,0.06,0.39,0.87,0.01,0.003,19.94,33.95,0,0.02,0.05,0,0.64,0.19,0.42,0,0,6.5,170,14,2.55,3,14.21
245,0.08,0.08,0.93,0.008,0.004,19.55,32.47,0,0.018,0.05,0,0.71,0.4,0.49,0,0,6.5,170,14,2.55,3,8.94
246,0.05,0.26,0.63,0.008,0.004,19.88,31.88,0,0.019,0.05,0,0.67,0.3,0.42,0,0,6.5,170,14,2.55,3,11.05
247,0.07,0.15,0.81,0.008,0.003,20.42,32.83,0,0.017,0.04,0,0.32,0.47,0.44,0,0,6.5,170,14,2.55,3,11.28
248,0.017,0.35,2.99,0.007,0.004,24.9,9.6,0,0.297,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,0.1
249,0.017,0.35,2.92,0.007,0.003,25,10.7,0,0.318,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,0.2
250,0.016,0.35,2.69,0.006,0.003,25,11.3,0,0.336,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,0.6
251,0.014,0.33,2.39,0.005,0.003,25.5,12.5,0,0.345,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,0.8
252,0.016,0.35,2.63,0.007,0.002,24.5,14.3,0,0.313,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,1.4
253,0.014,0.36,2.7,0.005,0.004,24.9,16.8,0,0.333,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,2
254,0.016,0.35,2.37,0.004,0.002,24.99,13.3,0,0.229,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,0.5
255,0.013,0.33,2.39,0.002,0.002,25.7,14.1,0,0.167,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,0.1
256,0.014,0.32,2.53,0.004,0.001,24.1,17.7,0,0.242,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,1.4
257,0.012,0.3,2.66,0.004,0.002,24,20.3,0,0.133,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,1.7
258,0.011,0.31,2.64,0.003,0.002,25,22.7,0,0.068,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,1.3
259,0.012,0.3,2.66,0.004,0.002,25,20,0,0.368,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,1.5
260,0.012,0.3,2.66,0.004,0.002,25,22,0,0.164,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,1.3
261,0.012,0.3,2.66,0.004,0.002,25,23,0,0.245,0,0,0,0.02,0,0,0,5,70,16,1.25,2.4,1.5
262,0.08,1.05,0.6,0.035,0.016,18.32,13.2,2.26,0.04,0,0,0,0.02,0,0,0,12.7,330,14,1.69,0.25,0
263,0.05,0.83,0.26,0.021,0.017,17.65,12.03,2.05,0.06,0,0,0,0.02,0,0,0,12.7,300,15,1.69,0.25,0
264,0.04,0.38,0.21,0.036,0.025,19.55,15.38,2.88,0.04,0,0,0,0.02,0,0,0,12.7,310,14.5,1.69,0.25,0
265,0.06,0.6,1.17,0.027,0.016,18.18,12.08,2.48,0.05,0,0,0,0.02,0,0,0,12.7,325,14.5,1.69,0.25,0
266,0.07,0.99,0.57,0.024,0.019,18.21,9.57,2.39,0.06,0,0,0,0.02,0,0,0,12.7,305,14.5,1.69,0.25,0
267,0.1,0.69,0.3,0.046,0.032,20.31,10.62,2.34,0.05,0,0,0,0.02,0,0,0,12.7,310,14.5,1.69,0.25,0
268,0.06,1.08,0.44,0.021,0.008,21.1,9.55,2.52,0.05,0,0,0,0.02,0,0,0,12.7,330,14,1.69,0.25,0
269,0.47,1.33,0.42,0.013,0.013,26.95,20.51,0.07,0.06,0,0,0,0.02,0,0,0,12.7,330,13.5,1.69,0.25,0
270,0.44,1.91,0.4,0.013,0.012,26.44,20.18,0.08,0.06,0,0,0,0.02,0,0,0,12.7,330,13.5,1.69,0.25,0
271,0.47,0.61,0.99,0.033,0.015,24.48,19.53,0,0.06,0,0,0,0.02,0,0,0,12.7,325,14.5,1.69,0.25,0
272,0.46,1.71,0.98,0.033,0.016,24.07,19.12,0,0.06,0,0,0,0.02,0,0,0,12.7,325,14,1.69,0.25,0
273,0.38,0.77,1.2,0.024,0.012,24.38,21.88,0.04,0.06,0,0,0,0.02,0,0,0,12.7,325,14,1.69,0.25,0
274,0.38,1.41,0.92,0.029,0.016,24.95,21.82,0.12,0.06,0,0,0,0.02,0,0,0,12.7,325,14,1.69,0.25,0
275,0.08,1.05,0.6,0.035,0.016,18.32,13.2,2.26,0.04,0,0,0,0.02,0,0,0,12.7,330,14,1.69,0.5,3.33
276,0.05,0.83,0.26,0.021,0.017,17.65,12.03,2.05,0.06,0,0,0,0.02,0,0,0,12.7,300,15,1.69,0.5,0.34
277,0.04,0.38,0.21,0.036,0.025,19.55,15.38,2.88,0.04,0,0,0,0.02,0,0,0,12.7,310,14.5,1.69,0.5,0.75
278,0.06,0.6,1.17,0.027,0.016,18.18,12.08,2.48,0.05,0,0,0,0.02,0,0,0,12.7,325,14.5,1.69,0.5,0
279,0.07,0.99,0.57,0.024,0.019,18.21,9.57,2.39,0.06,0,0,0,0.02,0,0,0,12.7,305,14.5,1.69,0.5,0
280,0.1,0.69,0.3,0.046,0.032,20.31,10.62,2.34,0.05,0,0,0,0.02,0,0,0,12.7,310,14.5,1.69,0.5,0.54
281,0.06,1.08,0.44,0.021,0.008,21.1,9.55,2.52,0.05,0,0,0,0.02,0,0,0,12.7,330,14,1.69,0.5,0
282,0.47,1.33,0.42,0.013,0.013,26.95,20.51,0.07,0.06,0,0,0,0.02,0,0,0,12.7,330,13.5,1.69,0.5,0
283,0.44,1.91,0.4,0.013,0.012,26.44,20.18,0.08,0.06,0,0,0,0.02,0,0,0,12.7,330,13.5,1.69,0.5,0
284,0.47,0.61,0.99,0.033,0.015,24.48,19.53,0,0.06,0,0,0,0.02,0,0,0,12.7,325,14.5,1.69,0.5,0.79
285,0.46,1.71,0.98,0.033,0.016,24.07,19.12,0,0.06,0,0,0,0.02,0,0,0,12.7,325,14,1.69,0.5,2.11
286,0.38,0.77,1.2,0.024,0.012,24.38,21.88,0.04,0.06,0,0,0,0.02,0,0,0,12.7,325,14,1.69,0.5,2.28
287,0.38,1.41,0.92,0.029,0.016,24.95,21.82,0.12,0.06,0,0,0,0.02,0,0,0,12.7,325,14,1.69,0.5,7.72
288,0.08,1.05,0.6,0.035,0.016,18.32,13.2,2.26,0.04,0,0,0,0.02,0,0,0,12.7,330,14,1.69,1,9.25
289,0.05,0.83,0.26,0.021,0.017,17.65,12.03,2.05,0.06,0,0,0,0.02,0,0,0,12.7,300,15,1.69,1,0.75
290,0.04,0.38,0.21,0.036,0.025,19.55,15.38,2.88,0.04,0,0,0,0.02,0,0,0,12.7,310,14.5,1.69,1,3.67
291,0.06,0.6,1.17,0.027,0.016,18.18,12.08,2.48,0.05,0,0,0,0.02,0,0,0,12.7,325,14.5,1.69,1,0
292,0.07,0.99,0.57,0.024,0.019,18.21,9.57,2.39,0.06,0,0,0,0.02,0,0,0,12.7,305,14.5,1.69,1,0
293,0.1,0.69,0.3,0.046,0.032,20.31,10.62,2.34,0.05,0,0,0,0.02,0,0,0,12.7,310,14.5,1.69,1,3.2
294,0.06,1.08,0.44,0.021,0.008,21.1,9.55,2.52,0.05,0,0,0,0.02,0,0,0,12.7,330,14,1.69,1,0
295,0.47,1.33,0.42,0.013,0.013,26.95,20.51,0.07,0.06,0,0,0,0.02,0,0,0,12.7,330,13.5,1.69,1,1.93
296,0.44,1.91,0.4,0.013,0.012,26.44,20.18,0.08,0.06,0,0,0,0.02,0,0,0,12.7,330,13.5,1.69,1,5.09
297,0.47,0.61,0.99,0.033,0.015,24.48,19.53,0,0.06,0,0,0,0.02,0,0,0,12.7,325,14.5,1.69,1,5.26
298,0.46,1.71,0.98,0.033,0.016,24.07,19.12,0,0.06,0,0,0,0.02,0,0,0,12.7,325,14,1.69,1,13.6
299,0.38,0.77,1.2,0.024,0.012,24.38,21.88,0.04,0.06,0,0,0,0.02,0,0,0,12.7,325,14,1.69,1,19.3
300,0.05,0.83,0.26,0.021,0.017,17.65,12.03,2.05,0.06,0,0,0,0.02,0,0,0,12.7,300,15,1.69,2,1.63
301,0.04,0.38,0.21,0.036,0.025,19.55,15.38,2.88,0.04,0,0,0,0.02,0,0,0,12.7,310,14.5,1.69,2,8.98
302,0.06,0.6,1.17,0.027,0.016,18.18,12.08,2.48,0.05,0,0,0,0.02,0,0,0,12.7,325,14.5,1.69,2,0
303,0.07,0.99,0.57,0.024,0.019,18.21,9.57,2.39,0.06,0,0,0,0.02,0,0,0,12.7,305,14.5,1.69,2,0.95
304,0.1,0.69,0.3,0.046,0.032,20.31,10.62,2.34,0.05,0,0,0,0.02,0,0,0,12.7,310,14.5,1.69,2,3.88
305,0.06,1.08,0.44,0.021,0.008,21.1,9.55,2.52,0.05,0,0,0,0.02,0,0,0,12.7,330,14,1.69,2,0
306,0.47,1.33,0.42,0.013,0.013,26.95,20.51,0.07,0.06,0,0,0,0.02,0,0,0,12.7,330,13.5,1.69,2,11.93
307,0.44,1.91,0.4,0.013,0.012,26.44,20.18,0.08,0.06,0,0,0,0.02,0,0,0,12.7,330,13.5,1.69,2,11.23
308,0.47,0.61,0.99,0.033,0.015,24.48,19.53,0,0.06,0,0,0,0.02,0,0,0,12.7,325,14.5,1.69,2,18.68
309,0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0,1.7,0.02,0,0,0,6.3,180,17,2.5,3.1,3.37
310,0.13,0.48,1.7,0.021,0.002,21.7,5.8,2.7,0.13,0,0,0,0.02,0,0,0,6.3,180,17,2.5,3.1,2.51
311,0.042,0.39,1.5,0.019,0.007,18.6,8,0.2,0.05,0,0,0,0.02,0,0,0,6.3,180,17,2.5,3.1,0.4
312,0.017,0.53,1.8,0.027,0.002,18.4,11.3,0.2,0.04,0,0,0,0.02,0,0,0,6.3,180,17,2.5,3.1,6.92
313,0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0,1.7,0.02,0,0,0,6.3,180,17,2.5,5,7.93
314,0.13,0.48,1.7,0.021,0.002,21.7,5.8,2.7,0.13,0,0,0,0.02,0,0,0,6.3,180,17,2.5,5,5.91
315,0.042,0.39,1.5,0.019,0.007,18.6,8,0.2,0.05,0,0,0,0.02,0,0,0,6.3,180,17,2.5,5,1.03
316,0.017,0.53,1.8,0.027,0.002,18.4,11.3,0.2,0.04,0,0,0,0.02,0,0,0,6.3,180,17,2.5,5,9.76
317,0.049,0.08,1.5,0.025,0.0024,14.9,16.62,2.1,0.006,0,0,0,0.028,0.25,0,0.0022,4,80,10,1.33,3.2,6.6
318,0.05,0.56,1.47,0.025,0.0025,14.81,16.54,2.07,0.006,0,0,0,0.03,0.25,0,0.003,4,80,10,1.33,3.2,7.1
319,0.048,0.52,1.49,0.027,0.0021,14.83,16.65,2.11,0.006,0,0,0,0.03,0.005,0,0.0024,4,80,10,1.33,3.2,5.8
320,0.05,0.52,1.48,0.027,0.0022,14.79,16.64,2.11,0.006,0,0,0,0.03,0.06,0,0.0031,4,80,10,1.33,3.2,7.9
321,0.048,0.54,1.47,0.026,0.0023,14.78,16.64,2.09,0.006,0,0,0,0.007,0.23,0,0.0026,4,80,10,1.33,3.2,11.2
322,0.048,0.54,1.47,0.025,0.0023,14.82,16.68,2.1,0.006,0,0,0,0.028,0.25,0,0.0001,4,80,10,1.33,3.2,6.6
