No.,C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Co,Cu,Al,Ti,V,B,Th,I,U,Ve,Strain,TCL
1,0.01,0.48,1.61,0.024,0.019,17.33,10.62,2.09,0.06,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,1.5
2,0.011,0.58,1.06,0.032,0.013,16.95,10.5,2.15,0.078,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,1.1
3,0.01,0.46,1.09,0.021,0.001,17.4,11.5,2.88,0.105,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,0.9
4,0.01,0.51,1.6,0.021,0.001,17.55,12.95,2.76,0.113,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,3.7
5,0.012,0.46,1.54,0.027,0.023,16.28,10.15,2.06,0.098,0,0.15,0,0.02,0,0,0,3.18,100,12,4.23,4,1.5
6,0.018,0.51,1.37,0.021,0.009,16.95,11.25,2.23,0.097,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,2.4
7,0.017,0.49,1.73,0.025,0.004,16.55,11.65,2.13,0.1,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,3.8
8,0.02,0.48,1.39,0.025,0.015,17.27,11.51,2.2,0.083,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,2.4
9,0.006,0.51,1.71,0.021,0.001,17.35,13.02,2.49,0.096,0,0.2,0,0.02,0,0,0,3.18,100,12,4.23,4,3.1
10,0.01,0.52,1.75,0.019,0.001,17.25,12.9,2.56,0.101,0,0.2,0,0.02,0,0,0,3.18,100,12,4.23,4,3
11,0.011,0.51,1.7,0.02,0.001,17.25,12.85,2.47,0.094,0,0.2,0,0.02,0,0,0,3.18,100,12,4.23,4,3.1
12,0.006,0.52,1.72,0.02,0.002,17.34,12.87,2.49,0.093,0,0.2,0,0.02,0,0,0,3.18,100,12,4.23,4,2.7
13,0.009,0.52,1.73,0.02,0.001,17.3,12.9,2.5,0.099,0,0.2,0,0.02,0,0,0,3.18,100,12,4.23,4,2.2
14,0.016,0.47,1.66,0.024,0.011,16.3,10.13,2.11,0.054,0,0.2,0.18,0.02,0,0,0,3.18,100,12,4.23,4,1.2
15,0.065,0.51,1.54,0.03,0.025,18.39,8.6,0.21,0.078,0,0.13,0,0.02,0,0,0,3.18,100,12,4.23,4,1.1
16,0.058,0.68,1.62,0.02,0.029,20.32,9.16,0.24,0.078,0,0.16,0,0.02,0,0,0,3.18,100,12,4.23,4,0.7
17,0.015,0.54,1.43,0.026,0.008,18.19,9.17,0.29,0.078,0,0.18,0.027,0.02,0,0,0,3.18,100,12,4.23,4,0.6
18,0.022,0.32,1.51,0.025,0.004,17.38,10.48,0.24,0.03,0.4,0,0,0.02,0,0,0,3.18,100,12,4.23,4,2.8
19,0.033,0.43,1.67,0.028,0.002,18.15,10.2,0.56,0.004,0.43,0,0,0.02,0,0,0,3.18,100,12,4.23,4,3.2
20,0.028,0.34,1.75,0.03,0.008,18.3,10.42,0.49,0.028,0.41,0,0,0.02,0,0,0,3.18,100,12,4.23,4,1.6
21,0.045,0.28,1.6,0.03,0.015,18.3,10.7,0,0.03,0.6,0.12,0,0.02,0,0,0,3.18,100,12,4.23,4,2.2
22,0.05,0.53,1.93,0.029,0.005,18.1,10.5,0,0.03,0.56,0.14,0,0.02,0,0,0,3.18,100,12,4.23,4,2.5
23,0.03,0.35,1.7,0.029,0.011,18.28,10.53,0,0.026,0.36,0,0,0.02,0,0,0,3.18,100,12,4.23,4,0.7
24,0.03,0.42,1.66,0.024,0.009,17.96,10.46,0,0.024,0.33,0,0,0.02,0,0,0,3.18,100,12,4.23,4,1.4
25,0.035,0.25,1.65,0.029,0.005,18.05,10.75,0,0.017,0.41,0,0,0.02,0,0,0,3.18,100,12,4.23,4,1.8
26,0.015,0.31,1.48,0.017,0.001,18.4,10.4,0.42,0.085,0.36,0,0,0.02,0,0,0,3.18,100,12,4.23,4,0.9
27,0.014,0.31,1.21,0.024,0.013,17.12,9.65,0.16,0.066,0.23,0.07,0,0.02,0,0,0,3.18,100,12,4.23,4,1.1
28,0.045,0.54,1.6,0.032,0.007,17.8,9.71,0,0.03,0.67,0,0,0.02,0,0,0,3.18,100,12,4.23,4,2.5
29,0.014,0.3,1.64,0.012,0.005,18.44,9.25,0,0.062,0.26,0.06,0,0.02,0,0,0,3.18,100,12,4.23,4,0.5
30,0.018,0.5,1.49,0.029,0.011,18.26,9.01,0.37,0.075,0.49,0.17,0,0.02,0,0,0,3.18,100,12,4.23,4,2
31,0.025,0.34,1.74,0.033,0.006,18.25,10.77,0,0.022,0.37,0,0,0.02,0,0,0,3.18,100,12,4.23,4,1
32,0.049,0.59,1.73,0.024,0.013,17.26,9.41,0.21,0.026,0.61,0,0,0.02,0,0,0,3.18,100,12,4.23,4,1.9
33,0.037,0.63,1.56,0.029,0.001,18,9.67,0.32,0.044,0.61,0,0,0.02,0,0,0,3.18,100,12,4.23,4,3.6
34,0.037,0.63,1.56,0.029,0.001,18,9.67,0.32,0.044,0.61,0,0,0.02,0,0,0,3.18,100,12,4.23,2,1.21
35,0.037,0.63,1.56,0.029,0.001,18,9.67,0.32,0.044,0.61,0,0,0.02,0,0,0,3.18,100,12,4.23,1,0.92
36,0.037,0.63,1.56,0.029,0.001,18,9.67,0.32,0.044,0.61,0,0,0.02,0,0,0,3.18,100,12,4.23,0.5,0.42
37,0.015,0.54,1.43,0.026,0.008,18.19,9.17,0.29,0.078,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,1.8
38,0.032,0.78,1.32,0.026,0.008,18.19,9.17,0.29,0.078,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,3.6
39,0.05,1.25,1.25,0.026,0.008,18.19,9.17,0.29,0.078,0,0,0,0.02,0,0,0,3.18,100,12,4.23,4,3.2
40,0.042,0.34,3.23,0.016,0.012,17.59,13.8,2.15,0.047,0.01,0.07,0.35,0.02,0,0.11,0,3.18,100,12,4.23,4,4.4
41,0.04,0.33,3.12,0.016,0.012,17.64,13.8,2.15,0.078,0.01,0.07,0.32,0.02,0,0.11,0,3.18,100,12,4.23,4,4
42,0.041,0.29,3.08,0.016,0.011,17.62,13.78,2.16,0.12,0.01,0.07,0.26,0.02,0,0.11,0,3.18,100,12,4.23,4,3.45
43,0.011,0.58,1.06,0.032,0.013,16.95,10.5,2.15,0.078,0,0,0,0.02,0,0,0,3.18,100,12,4.23,0.25,0
44,0.01,0.51,1.6,0.021,0.001,17.55,12.95,2.76,0.113,0,0,0,0.02,0,0,0,3.18,100,12,4.23,0.25,1.28
45,0.05,0.53,1.93,0.029,0.005,18.1,10.5,0,0.03,0.56,0.14,0,0.02,0,0,0,3.18,100,12,4.23,0.25,0
46,0.011,0.58,1.06,0.032,0.013,16.95,10.5,2.15,0.078,0,0,0,0.02,0,0,0,3.18,100,12,4.23,0.5,0
47,0.01,0.51,1.6,0.021,0.001,17.55,12.95,2.76,0.113,0,0,0,0.02,0,0,0,3.18,100,12,4.23,0.5,2.3
48,0.05,0.53,1.93,0.029,0.005,18.1,10.5,0,0.03,0.56,0.14,0,0.02,0,0,0,3.18,100,12,4.23,0.5,0
49,0.011,0.58,1.06,0.032,0.013,16.95,10.5,2.15,0.078,0,0,0,0.02,0,0,0,3.18,100,12,4.23,1,0.25
50,0.01,0.51,1.6,0.021,0.001,17.55,12.95,2.76,0.113,0,0,0,0.02,0,0,0,3.18,100,12,4.23,1,2.8
51,0.05,0.53,1.93,0.029,0.005,18.1,10.5,0,0.03,0.56,0.14,0,0.02,0,0,0,3.18,100,12,4.23,1,0.15
52,0.011,0.58,1.06,0.032,0.013,16.95,10.5,2.15,0.078,0,0,0,0.02,0,0,0,3.18,100,12,4.23,2,0.3
53,0.01,0.51,1.6,0.021,0.001,17.55,12.95,2.76,0.113,0,0,0,0.02,0,0,0,3.18,100,12,4.23,2,3.5
54,0.05,0.53,1.93,0.029,0.005,18.1,10.5,0,0.03,0.56,0.14,0,0.02,0,0,0,3.18,100,12,4.23,2,0.9
55,0.079,0.27,1.77,0.04,0.01,14.29,16.87,2.27,0.012,0.1,0.005,0.02,0.006,0.21,0.52,0,3.18,100,12,4.23,4,5.99
56,0.085,0.13,1.86,0.028,0.004,14.22,15.59,2.21,0.008,0.19,0,0.025,0.036,0.12,0.51,0,3.18,100,12,4.23,4,9.03
57,0.057,0.58,1.86,0.024,0.019,17.25,13.48,2.34,0.03,0.005,0.02,0.1,0.023,0.02,0,0,3.18,100,12,4.23,4,8.44
58,0.079,0.27,1.77,0.04,0.01,14.29,16.87,2.27,0.012,0.1,0.005,0.02,0.006,0.21,0.52,0,3.18,100,12,4.23,0.25,3.55
59,0.085,0.13,1.86,0.028,0.004,14.22,15.59,2.21,0.008,0.19,0,0.025,0.036,0.12,0.51,0,3.18,100,12,4.23,0.25,0.2
60,0.057,0.58,1.86,0.024,0.019,17.25,13.48,2.34,0.03,0.005,0.02,0.1,0.023,0.02,0,0,3.18,100,12,4.23,0.25,1.04
61,0.079,0.27,1.77,0.04,0.01,14.29,16.87,2.27,0.012,0.1,0.005,0.02,0.006,0.21,0.52,0,3.18,100,12,4.23,0.5,3.36
62,0.085,0.13,1.86,0.028,0.004,14.22,15.59,2.21,0.008,0.19,0,0.025,0.036,0.12,0.51,0,3.18,100,12,4.23,0.5,4.36
63,0.057,0.58,1.86,0.024,0.019,17.25,13.48,2.34,0.03,0.005,0.02,0.1,0.023,0.02,0,0,3.18,100,12,4.23,0.5,2.55
64,0.079,0.27,1.77,0.04,0.01,14.29,16.87,2.27,0.012,0.1,0.005,0.02,0.006,0.21,0.52,0,3.18,100,12,4.23,1,4.84
65,0.085,0.13,1.86,0.028,0.004,14.22,15.59,2.21,0.008,0.19,0,0.025,0.036,0.12,0.51,0,3.18,100,12,4.23,1,3.93
66,0.057,0.58,1.86,0.024,0.019,17.25,13.48,2.34,0.03,0.005,0.02,0.1,0.023,0.02,0,0,3.18,100,12,4.23,1,2.55
67,0.079,0.27,1.77,0.04,0.01,14.29,16.87,2.27,0.012,0.1,0.005,0.02,0.006,0.21,0.52,0,3.18,100,12,4.23,2,5.35
68,0.085,0.13,1.86,0.028,0.004,14.22,15.59,2.21,0.008,0.19,0,0.025,0.036,0.12,0.51,0,3.18,100,12,4.23,2,7.01
69,0.057,0.58,1.86,0.024,0.019,17.25,13.48,2.34,0.03,0.005,0.02,0.1,0.023,0.02,0,0,3.18,100,12,4.23,2,3.6
70,0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.028,0,0,0,0.02,0,0,0,12,250,17,1.67,4,3.9
71,0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.022,0,0,0,0.02,0,0,0,12,250,17,1.67,4,1.5
72,0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.024,0,0,0,0.02,0,0,0,12,250,17,1.67,4,7.4
73,0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.018,0,0,0,0.02,0,0,0,12,250,17,1.67,4,10.1
74,0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.012,0,0,0,0.02,0.44,0,0,12,250,17,1.67,4,1.4
75,0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0,0,0.02,0,0,0,12,250,17,1.67,4,14.9
76,0.07,0.67,1.56,0.02,0.003,18.54,8.64,0,0.02,0,0,0,0.02,0,0,0,12,250,17,1.67,4,0.5
77,0.07,0.67,1.5,0.031,0.01,16.97,11.92,2.23,0.02,0,0,0,0.02,0,0,0,12,250,17,1.67,4,10.3
78,0.026,0.84,1.56,0.025,0.006,17.12,12.6,2.2,0.02,0,0,0,0.02,0,0,0,12,250,17,1.67,4,6.8
79,0.06,0.64,1.22,0.025,0.008,18.36,9.66,0.04,0.02,0.78,0,0,0.02,0,0,0,12,250,17,1.67,4,5.4
80,0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.028,0,0,0,0.02,0,0,0,12,250,17,1.67,0.5,0
81,0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.022,0,0,0,0.02,0,0,0,12,250,17,1.67,0.5,0
82,0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.024,0,0,0,0.02,0,0,0,12,250,17,1.67,0.5,0.38
83,0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.018,0,0,0,0.02,0,0,0,12,250,17,1.67,0.5,1.05
84,0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.012,0,0,0,0.02,0.44,0,0,12,250,17,1.67,0.5,0
85,0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0,0,0.02,0,0,0,12,250,17,1.67,0.5,8.57
86,0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.028,0,0,0,0.02,0,0,0,12,250,17,1.67,1,0
87,0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.022,0,0,0,0.02,0,0,0,12,250,17,1.67,1,0.38
88,0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.024,0,0,0,0.02,0,0,0,12,250,17,1.67,1,2.84
89,0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.018,0,0,0,0.02,0,0,0,12,250,17,1.67,1,6.69
90,0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.012,0,0,0,0.02,0.44,0,0,12,250,17,1.67,1,0
91,0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0,0,0.02,0,0,0,12,250,17,1.67,1,12.32
92,0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.028,0,0,0,0.02,0,0,0,12,250,17,1.67,2,0
93,0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.022,0,0,0,0.02,0,0,0,12,250,17,1.67,2,0.3
94,0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.024,0,0,0,0.02,0,0,0,12,250,17,1.67,2,3.03
95,0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.018,0,0,0,0.02,0,0,0,12,250,17,1.67,2,5.68
96,0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.012,0,0,0,0.02,0.44,0,0,12,250,17,1.67,2,0.48
97,0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0,0,0.02,0,0,0,12,250,17,1.67,2,15.11
98,0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.028,0,0,0,0.02,0,0,0,12,250,17,1.67,2.4,1.44
99,0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.022,0,0,0,0.02,0,0,0,12,250,17,1.67,2.4,1
100,0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.024,0,0,0,0.02,0,0,0,12,250,17,1.67,2.4,5.39
101,0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.018,0,0,0,0.02,0,0,0,12,250,17,1.67,2.4,10.01
102,0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.012,0,0,0,0.02,0.44,0,0,12,250,17,1.67,2.4,0.48
103,0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0,0,0.02,0,0,0,12,250,17,1.67,2.4,17.61
104,0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0,0,0.02,0,0,0,12,250,17,1.67,0.2,0.77
105,0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.026,0,0,0,0.02,0,0,0,12,250,17,1.67,0.3,6.06
106,0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.018,0,0,0,0.02,0,0,0,12,250,17,1.67,0.3,0
107,0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.028,0,0,0,0.02,0,0,0,12,250,17,1.67,0.3,0
108,0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.117,0,0,0,0.02,0,0,0,12,250,17,1.67,4,10.18
109,0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.113,0,0,0,0.02,0,0,0,12,250,17,1.67,4,10.49
110,0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.098,0,0,0,0.02,0.44,0,0,12,250,17,1.67,4,2.88
111,0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.11,0,0,0,0.02,0,0,0,12,250,17,1.67,2.4,16.66
112,0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.094,0,0,0,0.02,0,0,0,12,250,17,1.67,2.4,8.33
113,0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.09,0,0,0,0.02,0,0,0,12,250,17,1.67,2.4,9.46
114,0.06,0.64,0.96,0.02,0.003,18.6,9.65,0,0.148,0,0,0,0.02,0,0,0,12,250,17,1.67,4,15.53
115,0.017,0.56,1.09,0.025,0.01,18.48,10.4,0,0.157,0,0,0,0.02,0,0,0,12,250,17,1.67,4,8.95
116,0.06,0.58,1.03,0.027,0.007,17.69,9.48,0,0.137,0,0,0,0.02,0.44,0,0,12,250,17,1.67,4,4.73
117,0.07,0.7,1.07,0.023,0.012,24.65,20.1,0,0.165,0,0,0,0.02,0,0,0,12,250,17,1.67,2.4,17.13
118,0.05,0.66,0.89,0.021,0.005,17,12.3,2.26,0.127,0,0,0,0.02,0,0,0,12,250,17,1.67,2.4,6.48
119,0.02,0.7,0.93,0.018,0.007,17.1,15.11,2.62,0.151,0,0,0,0.02,0,0,0,12,250,17,1.67,2.4,10.08
120,0.059,1.79,1.25,0.027,0.005,18.86,11.29,0.01,0.049,0,0,0.01,0.004,0,0,0,3.18,100,12,4.2,0.5,1.12
121,0.06,1.8,1.26,0.016,0.019,18.98,11.4,0.01,0.048,0,0,0.01,0.004,0,0,0,3.18,100,12,4.2,0.5,1.12
122,0.06,1.8,1.26,0.004,0.032,19.1,11.42,0.01,0.048,0,0,0.01,0.004,0,0,0,3.18,100,12,4.2,0.5,0.7
123,0.062,1.92,1.29,0.005,0.005,18.08,11.65,0.01,0.055,0,0,0.014,0.005,0,0,0,3.18,100,12,4.2,0.5,2.55
124,0.061,1.92,1.31,0.016,0.016,18.1,11.63,0.01,0.054,0,0,0.013,0.002,0,0,0,3.18,100,12,4.2,0.5,4.98
125,0.059,1.79,1.25,0.027,0.005,18.86,11.29,0.01,0.049,0,0,0.01,0.004,0,0,0,3.18,100,12,4.2,1.75,4.16
126,0.06,1.8,1.26,0.016,0.019,18.98,11.4,0.01,0.048,0,0,0.01,0.004,0,0,0,3.18,100,12,4.2,1.75,3.25
127,0.06,1.8,1.26,0.004,0.032,19.1,11.42,0.01,0.048,0,0,0.01,0.004,0,0,0,3.18,100,12,4.2,1.75,1.97
128,0.062,1.92,1.29,0.005,0.005,18.08,11.65,0.01,0.055,0,0,0.014,0.005,0,0,0,3.18,100,12,4.2,1.75,6.86
129,0.061,1.92,1.31,0.016,0.016,18.1,11.63,0.01,0.054,0,0,0.013,0.002,0,0,0,3.18,100,12,4.2,1.75,7.56
130,0.059,1.79,1.25,0.027,0.005,18.86,11.29,0.01,0.049,0,0,0.01,0.004,0,0,0,3.18,100,12,4.2,2.5,4.25
131,0.06,1.8,1.26,0.016,0.019,18.98,11.4,0.01,0.048,0,0,0.01,0.004,0,0,0,3.18,100,12,4.2,2.5,3.58
132,0.06,1.8,1.26,0.004,0.032,19.1,11.42,0.01,0.048,0,0,0.01,0.004,0,0,0,3.18,100,12,4.2,2.5,2.96
133,0.062,1.92,1.29,0.005,0.005,18.08,11.65,0.01,0.055,0,0,0.014,0.005,0,0,0,3.18,100,12,4.2,2.5,7.47
134,0.061,1.92,1.31,0.016,0.016,18.1,11.63,0.01,0.054,0,0,0.013,0.002,0,0,0,3.18,100,12,4.2,2.5,8.08
135,0.059,1.79,1.25,0.027,0.005,18.86,11.29,0.01,0.049,0,0,0.01,0.004,0,0,0,3.18,100,12,4.2,3.75,13.26
136,0.06,1.8,1.26,0.016,0.019,18.98,11.4,0.01,0.048,0,0,0.01,0.004,0,0,0,3.18,100,12,4.2,3.75,8.08
137,0.06,1.8,1.26,0.004,0.032,19.1,11.42,0.01,0.048,0,0,0.01,0.004,0,0,0,3.18,100,12,4.2,3.75,6.41
138,0.062,1.92,1.29,0.005,0.005,18.08,11.65,0.01,0.055,0,0,0.014,0.005,0,0,0,3.18,100,12,4.2,3.75,12.72
139,0.061,1.92,1.31,0.016,0.016,18.1,11.63,0.01,0.054,0,0,0.013,0.002,0,0,0,3.18,100,12,4.2,3.75,13.72
140,0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,0.25,0
141,0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,0.25,0
142,0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.11,0.46,0.02,0,0,0,3,100,12.5,3.6,0.25,0
143,0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.23,0.24,0.02,0,0,0,3,100,12.5,3.6,0.25,0
144,0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,0.5,0
145,0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,0.5,0
146,0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.11,0.46,0.02,0,0,0,3,100,12.5,3.6,0.5,0
147,0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.23,0.24,0.02,0,0,0,3,100,12.5,3.6,0.5,0
148,0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,0.75,0.46
149,0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,0.75,0
150,0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.11,0.46,0.02,0,0,0,3,100,12.5,3.6,0.75,0
151,0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.23,0.24,0.02,0,0,0,3,100,12.5,3.6,0.75,0
152,0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,1,1.06
153,0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,1,0.26
154,0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.11,0.46,0.02,0,0,0,3,100,12.5,3.6,1,0
155,0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.23,0.24,0.02,0,0,0,3,100,12.5,3.6,1,0
156,0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,1.5,2.03
157,0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,1.5,0.66
158,0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.11,0.46,0.02,0,0,0,3,100,12.5,3.6,1.5,0.09
159,0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.23,0.24,0.02,0,0,0,3,100,12.5,3.6,1.5,0
160,0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,2.5,3.58
161,0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,2.5,1.66
162,0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.11,0.46,0.02,0,0,0,3,100,12.5,3.6,2.5,0.06
163,0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.23,0.24,0.02,0,0,0,3,100,12.5,3.6,2.5,0.42
164,0.071,3.91,8.36,0.029,0.012,16.45,8.31,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,3.5,4.91
165,0.1,3.48,5.5,0.023,0.02,16.23,5.17,0,0.15,0,0,0,0.02,0,0,0,3,100,12.5,3.6,3.5,3.17
166,0.021,0.64,1.42,0.025,0.018,18.31,9.2,0.25,0.08,0,0.11,0.46,0.02,0,0,0,3,100,12.5,3.6,3.5,0.26
167,0.043,0.42,1.22,0.031,0.01,16.3,10.1,2.05,0.051,0,0.23,0.24,0.02,0,0,0,3,100,12.5,3.6,3.5,1.38
168,0.046,0.74,2.36,0.034,0.005,14.35,15.38,2.41,0.009,0,0,0,0.02,0.25,0,0.005,3,100,12.5,4.2,0.5,2.49
169,0.044,0.95,1.76,0.022,0.006,14.24,15.36,2.35,0.008,0,0,0,0.02,0.29,0,0.006,3,100,12.5,4.2,0.5,3.2
170,0.045,1,1.8,0.038,0.004,14.14,15.25,2.34,0.009,0,0,0,0.02,0.26,0,0.005,3,100,12.5,4.2,0.5,3.94
171,0.046,0.74,2.36,0.034,0.005,14.35,15.38,2.41,0.009,0,0,0,0.02,0.25,0,0.005,3,100,12.5,4.2,1,5.59
172,0.044,0.95,1.76,0.022,0.006,14.24,15.36,2.35,0.008,0,0,0,0.02,0.29,0,0.006,3,100,12.5,4.2,1,5.89
173,0.045,1,1.8,0.038,0.004,14.14,15.25,2.34,0.009,0,0,0,0.02,0.26,0,0.005,3,100,12.5,4.2,1,6.93
174,0.046,0.74,2.36,0.034,0.005,14.35,15.38,2.41,0.009,0,0,0,0.02,0.25,0,0.005,3,100,12.5,4.2,2,8.99
175,0.044,0.95,1.76,0.022,0.006,14.24,15.36,2.35,0.008,0,0,0,0.02,0.29,0,0.006,3,100,12.5,4.2,2,9.86
176,0.045,1,1.8,0.038,0.004,14.14,15.25,2.34,0.009,0,0,0,0.02,0.26,0,0.005,3,100,12.5,4.2,2,9.86
177,0.046,0.74,2.36,0.034,0.005,14.35,15.38,2.41,0.009,0,0,0,0.02,0.25,0,0.005,3,100,12.5,4.2,4,11.5
